t= 60.01s alt= 20883.5m v= 493.91 vUp= 493.91 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 61.01s alt= 21377.3m v= 493.69 vUp= 493.69 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 62.01s alt= 21870.8m v= 493.47 vUp= 493.47 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 63.01s alt= 22364.2m v= 493.26 vUp= 493.26 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 64.01s alt= 22857.3m v= 493.05 vUp= 493.05 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 65.01s alt= 23350.3m v= 492.86 vUp= 492.86 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 66.01s alt= 23843.1m v= 492.67 vUp= 492.67 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t= 67.01s alt= 24335.6m v= 492.48 vUp= 492.48 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    68s alt= 24823.9m v= 492.31 vUp= 492.31 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    69s alt= 25316.2m v= 492.14 vUp= 492.14 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    70s alt= 25808.2m v= 491.97 vUp= 491.97 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    71s alt= 26300.1m v= 491.81 vUp= 491.81 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    72s alt= 26791.8m v= 491.66 vUp= 491.66 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    73s alt= 27283.4m v= 491.51 vUp= 491.51 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    74s alt= 27774.9m v= 491.37 vUp= 491.37 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    75s alt= 28266.2m v= 491.23 vUp= 491.23 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    76s alt= 28757.3m v= 491.09 vUp= 491.09 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    77s alt= 29248.3m v= 490.96 vUp= 490.96 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    78s alt= 29739.2m v= 490.83 vUp= 490.83 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    79s alt=   30230m v=  490.7 vUp=  490.7 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    80s alt= 30720.6m v= 490.58 vUp= 490.58 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    81s alt= 31211.2m v= 490.46 vUp= 490.46 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    82s alt= 31701.6m v= 490.35 vUp= 490.35 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    83s alt= 32191.9m v= 490.24 vUp= 490.24 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    84s alt=   32682m v= 490.13 vUp= 490.13 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    85s alt= 33172.1m v= 490.02 vUp= 490.02 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    86s alt= 33662.1m v= 489.92 vUp= 489.92 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    87s alt=   34152m v= 489.82 vUp= 489.82 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    88s alt= 34641.7m v= 489.72 vUp= 489.72 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    89s alt= 35131.4m v= 489.63 vUp= 489.63 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    90s alt=   35621m v= 489.54 vUp= 489.54 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    91s alt= 36110.5m v= 489.45 vUp= 489.45 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    92s alt= 36599.9m v= 489.36 vUp= 489.36 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    93s alt= 37089.2m v= 489.27 vUp= 489.27 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    94s alt= 37578.4m v= 489.19 vUp= 489.19 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    95s alt= 38067.6m v=  489.1 vUp=  489.1 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    96s alt= 38556.6m v= 489.02 vUp= 489.02 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    97s alt= 39045.6m v= 488.94 vUp= 488.94 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    98s alt= 39534.5m v= 488.87 vUp= 488.87 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=    99s alt= 40023.3m v= 488.79 vUp= 488.79 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   100s alt= 40512.1m v= 488.72 vUp= 488.72 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   101s alt= 41000.8m v= 488.65 vUp= 488.65 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   102s alt= 41489.4m v= 488.58 vUp= 488.58 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   103s alt= 41977.9m v= 488.51 vUp= 488.51 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   104s alt= 42466.4m v= 488.44 vUp= 488.44 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   105s alt= 42954.8m v= 488.37 vUp= 488.37 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   106s alt= 43443.2m v= 488.31 vUp= 488.31 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   107s alt= 43931.4m v= 488.25 vUp= 488.25 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   108s alt= 44419.7m v= 488.18 vUp= 488.18 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   109s alt= 44907.8m v= 488.12 vUp= 488.12 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   110s alt= 45395.9m v= 488.06 vUp= 488.06 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   111s alt= 45883.9m v= 488.01 vUp= 488.01 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
t=   112s alt= 46371.9m v= 487.95 vUp= 487.95 m=    1620kg fuel=      0kg twr=     0 drag=     0 rho=      0 space
